strategy,final_levels,information_loss,row_coverage,relative_sum_error,probe_messages,tested_candidates,aggregate_latency_ms,aggregate_rows_sent,aggregate_bytes_sent,seed,k,query_id,n_parties,probe_latency_ms,wall_latency_ms
coordinated_rollup,geo=city;time=year,0.303030303030303,1.0,0.0,16.0,4.0,50.60957699993196,60.0,6413.0,11,10,Q5,4,126.82690600001933,239.12120599993614
local_suppression,age=age;product=category,0.0,0.8928,0.09954372064052952,0.0,0.0,35.08769100005793,687.0,69327.0,11,10,Q6,4,,
coordinated_rollup,age=age_band;product=category,0.37037037037037035,1.0,0.0,12.0,3.0,57.12589899997056,80.0,8841.0,11,10,Q6,4,83.32177600016166,197.1757640000078
local_suppression,geo=city;age=age_decade,0.0,0.94775,0.052072723296086976,0.0,0.0,33.175406999816914,170.0,18339.0,11,20,Q1,4,,
coordinated_rollup,geo=country;age=age_band,0.5909090909090908,1.0,0.0,32.0,8.0,57.76931900004456,16.0,1788.0,11,20,Q1,4,220.71625099977155,333.92095400006383
local_suppression,geo=city;product=category,0.0,0.92615,0.07174809297139205,0.0,0.0,32.450918999984424,132.0,14787.0,11,20,Q2,4,,
coordinated_rollup,geo=country;product=category,0.39999999999999997,1.0,0.0,12.0,3.0,64.42528399998082,20.0,2313.0,11,20,Q2,4,86.006440999995,210.72143800006415
local_suppression,geo=city;age=age_decade;product=category,0.0,0.72035,0.2779773374862596,0.0,0.0,39.601347000143505,295.0,36423.0,11,20,Q3,4,,
coordinated_rollup,geo=country;age=age_band;product=category,0.4333333333333333,1.0,0.0,40.0,10.0,68.2240459999548,80.0,10121.0,11,20,Q3,4,326.9235190001609,456.8513609999627
local_suppression,geo=state;age=age_decade;time=month,0.0,0.59315,0.3973386419975741,0.0,0.0,38.243498000042564,325.0,40316.0,11,20,Q4,4,,
coordinated_rollup,geo=country;age=age_band;time=quarter,0.44791666666666663,1.0,0.0,60.0,15.0,69.67743299992435,64.0,8012.0,11,20,Q4,4,478.69194299971696,608.155666000016
local_suppression,geo=city;time=month,0.0,0.87265,0.12895881702454426,0.0,0.0,32.62547199983601,235.0,26003.0,11,20,Q5,4,,
coordinated_rollup,geo=country;time=month,0.3636363636363636,1.0,0.0,24.0,6.0,53.769504000115376,48.0,5455.0,11,20,Q5,4,160.8987250000382,266.1902380000356
local_suppression,age=age;product=category,0.0,0.64415,0.3592730792219603,0.0,0.0,32.00503300001856,343.0,34826.0,11,20,Q6,4,,
coordinated_rollup,age=age_band;product=category,0.37037037037037035,1.0,0.0,12.0,3.0,62.78000599979805,80.0,8841.0,11,20,Q6,4,81.67737600024338,200.35319399994478
local_suppression,geo=city;age=age_decade,0.0,0.99945,0.0005968726383754482,0.0,0.0,35.34416299999066,280.0,29533.0,22,3,Q1,4,,
coordinated_rollup,geo=city;age=all_age,0.45454545454545453,1.0,0.0,24.0,6.0,51.995591999911994,60.0,6430.0,22,3,Q1,4,164.96079299975008,274.57010399996307
local_suppression,geo=city;product=category,0.0,0.9988,0.0006970793498478003,0.0,0.0,33.228831999963404,280.0,30552.0,22,3,Q2,4,,
coordinated_rollup,geo=country;product=category,0.39999999999999997,1.0,0.0,12.0,3.0,57.31789899994055,20.0,2327.0,22,3,Q2,4,81.00427500016849,193.53023100006794
local_suppression,geo=city;age=age_decade;product=category,0.0,0.9746,0.02276733342292811,0.0,0.0,38.23380100016038,915.0,110969.0,22,3,Q3,4,,
coordinated_rollup,geo=country;age=age_band;product=category,0.4333333333333333,1.0,0.0,40.0,10.0,80.10214800015092,80.0,10124.0,22,3,Q3,4,345.3665549998277,487.48898100006954
local_suppression,geo=state;age=age_decade;time=month,0.0,0.95315,0.046083166901887525,0.0,0.0,37.58920300003865,1239.0,149781.0,22,3,Q4,4,,
coordinated_rollup,geo=country;age=age_band;time=month,0.34375,1.0,0.0,40.0,10.0,63.58803799980706,192.0,23820.0,22,3,Q4,4,308.8342879996162,433.7214729999914
local_suppression,geo=city;time=month,0.0,0.99265,0.008906510731816293,0.0,0.0,30.283792999966863,596.0,63660.0,22,3,Q5,4,,
coordinated_rollup,geo=city;time=year,0.303030303030303,1.0,0.0,16.0,4.0,50.05752300007771,60.0,6430.0,22,3,Q5,4,102.74515800017525,222.2096269999838
local_suppression,age=age;product=category,0.0,0.99175,0.007574414156626761,0.0,0.0,32.07783200002723,1021.0,102014.0,22,3,Q6,4,,
coordinated_rollup,age=age_band;product=category,0.37037037037037035,1.0,0.0,12.0,3.0,58.484158999931424,80.0,8844.0,22,3,Q6,4,81.69981600008214,200.97921399997176
local_suppression,geo=city;age=age_decade,0.0,0.99635,0.003198739517821274,0.0,0.0,33.06416000009449,262.0,27745.0,22,5,Q1,4,,
coordinated_rollup,geo=city;age=all_age,0.45454545454545453,1.0,0.0,24.0,6.0,53.68556799999169,60.0,6430.0,22,5,Q1,4,168.15643099982935,274.6970160000046
local_suppression,geo=city;product=category,0.0,0.99525,0.0028385144349649173,0.0,0.0,31.919008000045324,259.0,28408.0,22,5,Q2,4,,
coordinated_rollup,geo=country;product=category,0.39999999999999997,1.0,0.0,12.0,3.0,57.1262639998622,20.0,2327.0,22,5,Q2,4,95.59556600004271,222.44827700001224
local_suppression,geo=city;age=age_decade;product=category,0.0,0.94105,0.056611103619283655,0.0,0.0,39.49861600005988,722.0,88034.0,22,5,Q3,4,,
coordinated_rollup,geo=country;age=age_band;product=category,0.4333333333333333,1.0,0.0,40.0,10.0,68.69490999997652,80.0,10124.0,22,5,Q3,4,329.27479699992546,463.4114830000726
local_suppression,geo=state;age=age_decade;time=month,0.0,0.90215,0.09603854228091269,0.0,0.0,38.261266999938925,940.0,114562.0,22,5,Q4,4,,
coordinated_rollup,geo=country;age=age_band;time=month,0.34375,1.0,0.0,40.0,10.0,82.23838200012779,192.0,23820.0,22,5,Q4,4,314.1202170000952,459.0006880000601
local_suppression,geo=city;time=month,0.0,0.97195,0.028940128279026596,0.0,0.0,30.008024000039768,479.0,51682.0,22,5,Q5,4,,
coordinated_rollup,geo=city;time=year,0.303030303030303,1.0,0.0,16.0,4.0,52.16609699994024,60.0,6430.0,22,5,Q5,4,104.08482399975583,207.62406599999395
local_suppression,age=age;product=category,0.0,0.97545,0.024600273124334226,0.0,0.0,32.462813999927675,928.0,92971.0,22,5,Q6,4,,
coordinated_rollup,age=age_band;product=category,0.37037037037037035,1.0,0.0,12.0,3.0,57.973879999963174,80.0,8844.0,22,5,Q6,4,82.31696099994679,194.9076219999597
local_suppression,geo=city;age=age_decade,0.0,0.98095,0.01859538632328736,0.0,0.0,32.26606800001264,218.0,23348.0,22,10,Q1,4,,
coordinated_rollup,geo=country;age=age_band,0.5909090909090908,1.0,0.0,32.0,8.0,72.31338300005064,16.0,1792.0,22,10,Q1,4,235.10940400012714,363.66441500001656
local_suppression,geo=city;product=category,0.0,0.9723,0.029396493446964857,0.0,0.0,31.902842000022247,194.0,21451.0,22,10,Q2,4,,
coordinated_rollup,geo=country;product=category,0.39999999999999997,1.0,0.0,12.0,3.0,59.86234100009824,20.0,2327.0,22,10,Q2,4,85.99307499980569,202.18394400001216
local_suppression,geo=city;age=age_decade;product=category,0.0,0.8666,0.1336924956875408,0.0,0.0,37.518829999953596,498.0,61117.0,22,10,Q3,4,,
coordinated_rollup,geo=country;age=age_band;product=category,0.4333333333333333,1.0,0.0,40.0,10.0,69.46786399998928,80.0,10124.0,22,10,Q3,4,328.89836000015293,465.3889239999671
local_suppression,geo=state;age=age_decade;time=month,0.0,0.79905,0.19729994129345654,0.0,0.0,40.25130800005172,624.0,76881.0,22,10,Q4,4,,
coordinated_rollup,geo=country;age=age_band;time=month,0.34375,1.0,0.0,40.0,10.0,63.51216400003068,192.0,23820.0,22,10,Q4,4,310.65267999963453,433.69742199990924
local_suppression,geo=city;time=month,0.0,0.91485,0.0866852985113398,0.0,0.0,29.660965999937616,304.0,33421.0,22,10,Q5,4,,
coordinated_rollup,geo=country;time=month,0.3636363636363636,1.0,0.0,24.0,6.0,50.40681399998448,48.0,5470.0,22,10,Q5,4,146.99215499979346,262.9796339999757
local_suppression,age=age;product=category,0.0,0.89755,0.09453906901499598,0.0,0.0,32.11001999989094,707.0,71406.0,22,10,Q6,4,,
coordinated_rollup,age=age_band;product=category,0.37037037037037035,1.0,0.0,12.0,3.0,59.17815400005111,80.0,8844.0,22,10,Q6,4,96.4640010002995,210.14223600002424
local_suppression,geo=city;age=age_decade,0.0,0.9349,0.0671314937346848,0.0,0.0,31.427210000060768,156.0,16871.0,22,20,Q1,4,,
coordinated_rollup,geo=country;age=age_band,0.5909090909090908,1.0,0.0,32.0,8.0,57.58247099993241,16.0,1792.0,22,20,Q1,4,223.28626199964674,336.23045199999524
local_suppression,geo=city;product=category,0.0,0.93125,0.07039036956526984,0.0,0.0,32.37213199997768,133.0,14848.0,22,20,Q2,4,,
coordinated_rollup,geo=country;product=category,0.39999999999999997,1.0,0.0,12.0,3.0,57.81545199999982,20.0,2327.0,22,20,Q2,4,82.23377700005585,212.2999550000486
local_suppression,geo=city;age=age_decade;product=category,0.0,0.7301,0.26051629047070723,0.0,0.0,38.69152800007214,303.0,37463.0,22,20,Q3,4,,
coordinated_rollup,geo=country;age=age_band;product=category,0.4333333333333333,1.0,0.0,40.0,10.0,69.35978100000284,80.0,10124.0,22,20,Q3,4,339.5284339999307,474.3503239999427
local_suppression,geo=state;age=age_decade;time=month,0.0,0.61265,0.38540608804378207,0.0,0.0,38.14206799995645,347.0,43016.0,22,20,Q4,4,,
coordinated_rollup,geo=country;age=age_band;time=quarter,0.44791666666666663,1.0,0.0,60.0,15.0,75.49680399995395,64.0,8056.0,22,20,Q4,4,466.59609100015587,601.2760639999897
local_suppression,geo=city;time=month,0.0,0.87485,0.12641915009996324,0.0,0.0,29.127558999903158,239.0,26480.0,22,20,Q5,4,,
coordinated_rollup,geo=country;time=month,0.3636363636363636,1.0,0.0,24.0,6.0,50.0662500000999,48.0,5470.0,22,20,Q5,4,151.5212590001056,253.71173100006672
local_suppression,age=age;product=category,0.0,0.6472,0.35074094224624186,0.0,0.0,32.318454000119345,346.0,35175.0,22,20,Q6,4,,
coordinated_rollup,age=age_band;product=category,0.37037037037037035,1.0,0.0,12.0,3.0,58.66440900001635,80.0,8844.0,22,20,Q6,4,82.09991700005048,196.53892099995574
